Date,High,Low,Open,Close,Volume,Adj Close
8/27/2018,1927.699951,1909.280029,1915,1927.680054,3569000,1927.680054
8/28/2018,1941.780029,1928.819946,1937.72998,1932.819946,3100700,1932.819946
8/29/2018,1998.689941,1948.939941,1953.449951,1998.099976,6531800,1998.099976
8/30/2018,2025.569946,1986.900024,1997.420044,2002.380005,7277300,2002.380005
8/31/2018,2022.380005,2004.73999,2007,2012.709961,4204400,2012.709961
9/4/2018,2050.5,2013,2026.5,2039.51001,5721100,2039.51001
9/5/2018,2040.380005,1989.890015,2038.109985,1994.819946,8220600,1994.819946
9/6/2018,2007.5,1935.209961,2006.51001,1958.310059,7488700,1958.310059
9/7/2018,1975.199951,1937.349976,1938.709961,1952.069946,4892600,1952.069946
9/10/2018,1973.040039,1931.52002,1971,1939.01001,4544800,1939.01001
9/11/2018,1988.880005,1917,1928.27002,1987.150024,5033600,1987.150024
9/12/2018,2000,1962.439941,1994,1990,4414000,1990
9/13/2018,2008.76001,1982.030029,2000,1989.869995,3621500,1989.869995
9/14/2018,1993.650024,1959.219971,1992.930054,1970.189941,3642000,1970.189941
9/17/2018,1956.819946,1887.410034,1954.72998,1908.030029,7050200,1908.030029
9/18/2018,1958.199951,1915.439941,1918.650024,1941.050049,4268700,1941.050049
9/19/2018,1940.829956,1904.900024,1940.5,1926.420044,4056800,1926.420044
9/20/2018,1955,1932.25,1938.579956,1944.300049,3154900,1944.300049
9/21/2018,1957.310059,1910.5,1954.219971,1915.01001,6855900,1915.01001
9/24/2018,1936.880005,1865,1903.790039,1934.359985,4213700,1934.359985
9/25/2018,1975.910034,1938.849976,1942.900024,1974.550049,4538400,1974.550049
9/26/2018,1995.25,1961.52002,1968.5,1974.849976,4313500,1974.849976
9/27/2018,2016.160034,1988.579956,1993.23999,2012.97998,4329400,2012.97998
9/28/2018,2026.52002,1996.459961,2004.410034,2003,4085100,2003
10/1/2018,2033.189941,2003.599976,2021.98999,2004.359985,3460500,2004.359985
10/2/2018,2013.390015,1965.77002,1999.98999,1971.310059,5400700,1971.310059
10/3/2018,1989.699951,1949.810059,1981.699951,1952.76001,5253100,1952.76001
10/4/2018,1956,1896.569946,1949,1909.420044,7257000,1909.420044
10/5/2018,1929.079956,1862.829956,1917.98999,1889.650024,6822300,1889.650024
10/8/2018,1902,1830.660034,1874,1864.420044,7393200,1864.420044
10/9/2018,1896.680054,1852.319946,1859.98999,1870.319946,4772900,1870.319946
10/10/2018,1858.560059,1754.410034,1857.890015,1755.25,10988900,1755.25
10/11/2018,1755.400024,1685.099976,1724,1719.359985,13935900,1719.359985
10/12/2018,1808.949951,1742.530029,1808,1788.609985,9444600,1788.609985
10/15/2018,1795.050049,1734.22998,1795,1760.949951,6437200,1760.949951
10/16/2018,1823.880005,1761.550049,1783.5,1819.959961,5859900,1819.959961
10/17/2018,1845,1807,1842.790039,1831.72998,5295200,1831.72998
10/18/2018,1830.150024,1767.869995,1821.48999,1770.719971,5874000,1770.719971
10/19/2018,1809.099976,1753,1785.160034,1764.030029,5907200,1764.030029
10/22/2018,1809.5,1756,1784,1789.300049,4500000,1789.300049
10/23/2018,1776.339966,1714,1742.23999,1768.699951,6723900,1768.699951
